Activity Period,Activity Period Start Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight,data_as_of,data_loaded_at
199907,01/07/1999,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,727,200,4,618000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,,78,15444000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Wide Body,Lockheed,L1011,0,71,25418000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Wide Body,Lockheed,L1011,100,1,368000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Passenger,Wide Body,Boeing,767,0,9,2879955,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Passenger,Wide Body,Ilyushin,IL-96,,4,1543220,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,209,4,1088000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,233,26,7140000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,333,1,320000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,12,1610400,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,151,21442000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,19,11969867,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air Europe,PE,Air Europe,PE,International,Europe,Passenger,Wide Body,Boeing,767,300,1,293200,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,200,31,19525505,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,241,29161000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,91,11011000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,67,8710000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,333,43290000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Freighter,Wide Body,Boeing,747,0,2,1260000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Passenger,Wide Body,Boeing,747,300,31,9920000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,"All Nippon Company Airways, Ltd.",NH,"All Nippon Company Airways, Ltd.",NH,International,Asia,Passenger,Wide Body,Boeing,747,400,21,12264000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,W,184,36432000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,13,2574000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200ER,115,31970000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,126,39060000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,,82,22140000,20/09/2025 13:01,22/09/2025 15:11
199907,01/07/1999,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,McDonnell Douglas,DC-10,0,32,11129600,20/09/2025 13:01,22/09/2025 15:11
